Keywords,TF-IDF
august,4.061386243775428
special,4.397858480396641
sjsu,4.397858480396641
flag,4.503218996054467
sponsor,4.503218996054467
approve,4.621002031710851
item,4.621002031710851
donation,4.7545334243353725
raise,4.7545334243353725
fund,4.9086841041626315
lighting,4.9086841041626315
subject,4.9086841041626315
accept,5.091005660956586
councilmember,5.091005660956586
rule,5.091005660956586
display,5.091005660956586
state,5.091005660956586
peralez,5.091005660956586
approval,5.091005660956586
committee,5.091005660956586
district,5.314149212270796
official,5.314149212270796
raul,5.314149212270796
date,5.314149212270796
monday,5.314149212270796
conjunction,5.314149212270796
hall,5.314149212270796
action,5.314149212270796
retroactively,5.314149212270796
university,5.314149212270796
ceremonial,5.314149212270796
schedule,5.314149212270796
toni,5.314149212270796
taber,5.314149212270796
community,5.314149212270796
light,5.601831284722577
material,5.601831284722577
temporary,5.601831284722577
open,5.601831284722577
support,5.601831284722577
physical,5.601831284722577
result,5.601831284722577
policy,5.601831284722577
project,5.601831284722577
public,5.601831284722577
student,5.601831284722577
service,5.601831284722577
section,5.601831284722577
receive,5.601831284722577
recommendation,5.601831284722577
regard,5.601831284722577
retroactive,5.601831284722577
place,5.601831284722577
proclamation,5.601831284722577
mayor,5.601831284722577
expenditure,5.601831284722577
disclosure,5.601831284722577
ceqa,5.601831284722577
expend,5.601831284722577
cash,5.601831284722577
change,5.601831284722577
business,5.601831284722577
environment,5.601831284722577
cmc,5.601831284722577
group,5.601831284722577
review,6.0072963928307415
return,6.0072963928307415
government,6.0072963928307415
requirement,6.0072963928307415
require,6.0072963928307415
reportany,6.0072963928307415
councilpolicy,6.0072963928307415
referral,6.0072963928307415
departmentsand,6.0072963928307415
recommend,6.0072963928307415
direction,6.0072963928307415
resolutionno,6.0072963928307415
come,6.0072963928307415
rotundaand,6.0072963928307415
rulescommittee,6.0072963928307415
website,6.0072963928307415
variousindividual,6.0072963928307415
activity,6.0072963928307415
tower,6.0072963928307415
adopt,6.0072963928307415
allow,6.0072963928307415
analysis,6.0072963928307415
rotunda,6.0072963928307415
andthe,6.0072963928307415
approvethe,6.0072963928307415
background,6.0072963928307415
blue,6.0072963928307415
budgetary,6.0072963928307415
campus,6.0072963928307415
celebrate,6.0072963928307415
celebration,6.0072963928307415
submit,6.0072963928307415
enable,6.0072963928307415
pursuant,6.0072963928307415
enhance,6.0072963928307415
observanceof,6.0072963928307415
normal,6.0072963928307415
financial,6.0072963928307415
week,6.0072963928307415
flagshonorable,6.0072963928307415
free,6.0072963928307415
fundraising,6.0072963928307415
february,6.0072963928307415
kind,6.0072963928307415
fundraisingreport,6.0072963928307415
interest,6.0072963928307415
individual,6.0072963928307415
incorporate,6.0072963928307415
honorable,6.0072963928307415
hold,6.0072963928307415
help,6.0072963928307415
itemsas,6.0072963928307415
question,6.0072963928307415
onthe,6.0072963928307415
opportunity,6.0072963928307415
provide,6.0072963928307415
proposeduse,6.0072963928307415
propose,6.0072963928307415
enjoy,6.0072963928307415
ensurecompliance,6.0072963928307415
process,6.0072963928307415
proceed,6.0072963928307415
faculty,6.0072963928307415
procedure,6.0072963928307415
pride,6.0072963928307415
post,6.0072963928307415
plaza,6.0072963928307415
exist,6.0072963928307415
photo,6.0072963928307415
permit,6.0072963928307415
page,6.0072963928307415
prior,6.0072963928307415
welcome,6.0072963928307415
