Keywords,TF-IDF
project,4.838750804321821
building,4.953820134106607
use,5.056474288166691
street,5.141031676194754
site,5.141031676194754
development,5.26619481914876
include,5.468719083260234
area,5.48933837046297
plan,5.48933837046297
downtown,5.646967314666552
space,5.671659927256925
design,5.671659927256925
commercial,5.696977735241214
carlos,5.7770204429147505
tree,5.7770204429147505
pedestrian,5.7770204429147505
hotel,5.805191319881447
permit,5.805191319881447
west,5.894803478571134
level,5.926552176885714
section,5.959341999708705
parking,5.959341999708705
locate,5.993243551384387
property,5.993243551384387
standard,6.064702515366531
analysis,6.064702515366531
frontage,6.064702515366531
chapter,6.102442843349379
access,6.102442843349379
general,6.102442843349379
consistent,6.14166355650266
bicycle,6.14166355650266
residential,6.14166355650266
zone,6.14166355650266
map,6.225045165441711
environmental,6.225045165441711
impact,6.225045165441711
parcel,6.225045165441711
land,6.225045165441711
district,6.225045165441711
staff,6.269496928012544
ground,6.269496928012544
neighborhood,6.316016943647438
floor,6.316016943647438
diridon,6.36480710781687
report,6.36480710781687
ordinance,6.36480710781687
station,6.36480710781687
size,6.36480710781687
designation,6.41610040220442
policy,6.41610040220442
finding,6.41610040220442
josefa,6.470167623474696
nos,6.470167623474696
construction,6.470167623474696
code,6.470167623474696
active,6.470167623474696
removal,6.527326037314644
tentative,6.527326037314644
page,6.527326037314644
community,6.527326037314644
sidewalk,6.527326037314644
guideline,6.58795065913108
unit,6.58795065913108
allow,6.58795065913108
circumference,6.652489180268651
amenity,6.652489180268651
demolition,6.652489180268651
exist,6.652489180268651
vest,6.652489180268651
exhibit,6.652489180268651
seir,6.7214820517556015
entrance,6.7214820517556015
planning,6.7214820517556015
height,6.7214820517556015
location,6.7214820517556015
new,6.795590023909324
requirement,6.795590023909324
approximately,6.795590023909324
surround,6.8756327315828605
condition,6.8756327315828605
garage,6.8756327315828605
type,6.8756327315828605
post,6.8756327315828605
lobby,6.8756327315828605
corner,6.8756327315828605
non,6.96264410857249
support,6.96264410857249
water,6.96264410857249
room,6.96264410857249
foot,6.96264410857249
podium,6.96264410857249
entry,6.96264410857249
available,6.96264410857249
architectural,6.96264410857249
approval,6.96264410857249
applicable,7.0579542883768145
website,7.0579542883768145
mitigation,7.0579542883768145
structure,7.0579542883768145
question,7.0579542883768145
envision,7.0579542883768145
quality,7.0579542883768145
review,7.0579542883768145
setback,7.0579542883768145
conformance,7.0579542883768145
conflict,7.0579542883768145
significant,7.0579542883768145
municipal,7.0579542883768145
color,7.163314804034641
line,7.163314804034641
comment,7.163314804034641
commission,7.163314804034641
urban,7.163314804034641
utility,7.163314804034641
encourage,7.163314804034641
high,7.163314804034641
seven,7.163314804034641
historic,7.163314804034641
scale,7.163314804034641
create,7.163314804034641
acre,7.163314804034641
improvement,7.163314804034641
vehicle,7.163314804034641
subdivision,7.163314804034641
dc,7.163314804034641
ceqa,7.163314804034641
merge,7.163314804034641
reduce,7.281097839691025
mass,7.281097839691025
tank,7.281097839691025
director,7.281097839691025
compatible,7.281097839691025
health,7.281097839691025
orient,7.281097839691025
growth,7.281097839691025
recommend,7.281097839691025
remove,7.281097839691025
notice,7.281097839691025
figure,7.281097839691025
future,7.281097839691025
material,7.281097839691025
primary,7.281097839691025
facilitate,7.281097839691025
large,7.414629232315547
shed,7.414629232315547
far,7.414629232315547
relate,7.414629232315547
wall,7.414629232315547
set,7.414629232315547
window,7.414629232315547
wide,7.414629232315547
act,7.414629232315547
respond,7.414629232315547
serve,7.414629232315547
feature,7.414629232315547
address,7.414629232315547
result,7.414629232315547
cypress,7.414629232315547
contribute,7.414629232315547
motorcycle,7.414629232315547
adjacent,7.414629232315547
leyland,7.414629232315547
transparent,7.414629232315547
cause,7.414629232315547
transportation,7.414629232315547
strategy,7.414629232315547
supplemental,7.414629232315547
architecture,7.414629232315547
common,7.414629232315547
façade,7.568779912142806
courtyard,7.568779912142806
base,7.568779912142806
owner,7.568779912142806
find,7.568779912142806
density,7.568779912142806
vertical,7.568779912142806
promote,7.568779912142806
identify,7.568779912142806
eligible,7.568779912142806
story,7.568779912142806
marriott,7.568779912142806
outreach,7.568779912142806
outdoor,7.568779912142806
reveal,7.568779912142806
human,7.568779912142806
description,7.568779912142806
framing,7.568779912142806
signage,7.568779912142806
conform,7.568779912142806
open,7.568779912142806
measure,7.568779912142806
appear,7.568779912142806
consideration,7.568779912142806
develop,7.568779912142806
need,7.568779912142806
incorporate,7.568779912142806
work,7.568779912142806
information,7.568779912142806
enhance,7.568779912142806
wood,7.568779912142806
vibrant,7.568779912142806
suite,7.568779912142806
activity,7.568779912142806
substantial,7.568779912142806
discuss,7.75110146893676
traffic,7.75110146893676
transit,7.75110146893676
tenant,7.75110146893676
bicyclist,7.75110146893676
total,7.75110146893676
townplace,7.75110146893676
sign,7.75110146893676
realm,7.75110146893676
plane,7.75110146893676
planter,7.75110146893676
physically,7.75110146893676
apn,7.75110146893676
london,7.75110146893676
unavoidable,7.75110146893676
accessible,7.75110146893676
lot,7.75110146893676
facade,7.75110146893676
low,7.75110146893676
preserve,7.75110146893676
facility,7.75110146893676
elevation,7.75110146893676
element,7.75110146893676
eir,7.75110146893676
program,7.75110146893676
wildlife,7.75110146893676
accordance,7.75110146893676
pursuant,7.75110146893676
variety,7.75110146893676
overall,7.75110146893676
driveway,7.75110146893676
identifiable,7.75110146893676
different,7.75110146893676
fish,7.75110146893676
mix,7.75110146893676
safety,7.75110146893676
link,7.75110146893676
view,7.75110146893676
specific,7.75110146893676
construct,7.75110146893676
glass,7.75110146893676
heaven,7.75110146893676
criterion,7.75110146893676
chris,7.75110146893676
legal,7.75110146893676
hearing,7.75110146893676
state,7.75110146893676
convenient,7.75110146893676
count,7.75110146893676
storefront,7.75110146893676
limit,7.75110146893676
horizontal,7.75110146893676
minimum,7.75110146893676
retail,7.75110146893676
meet,7.75110146893676
activate,7.75110146893676
significance,7.75110146893676
determine,7.75110146893676
respect,7.75110146893676
suitable,7.75110146893676
vehicular,7.75110146893676
roof,7.75110146893676
form,7.75110146893676
monitoring,7.75110146893676
component,7.75110146893676
habitat,7.75110146893676
harmonious,7.75110146893676
small,7.75110146893676
burton,7.75110146893676
intensity,7.97424502025097
local,7.97424502025097
perception,7.97424502025097
guest,7.97424502025097
exercise,7.97424502025097
exceptional,7.97424502025097
pathway,7.97424502025097
injure,7.97424502025097
integrate,7.97424502025097
landmark,7.97424502025097
goal,7.97424502025097
newly,7.97424502025097
interior,7.97424502025097
landscaped,7.97424502025097
housing,7.97424502025097
list,7.97424502025097
orientation,7.97424502025097
landscape,7.97424502025097
note,7.97424502025097
fourth,7.97424502025097
frame,7.97424502025097
northeast,7.97424502025097
neighborhoods,7.97424502025097
improve,7.97424502025097
historical,7.97424502025097
management,7.97424502025097
noise,7.97424502025097
glaze,7.97424502025097
family,7.97424502025097
order,7.97424502025097
good,7.97424502025097
llc,7.97424502025097
government,7.97424502025097
failure,7.97424502025097
feasible,7.97424502025097
place,7.97424502025097
kitchen,7.97424502025097
skyline,7.97424502025097
creation,7.97424502025097
secondary,7.97424502025097
second,7.97424502025097
treatment,7.97424502025097
attachment,7.97424502025097
customer,7.97424502025097
damage,7.97424502025097
runoff,7.97424502025097
define,7.97424502025097
demand,7.97424502025097
denial,7.97424502025097
center,7.97424502025097
april,7.97424502025097
upper,7.97424502025097
vacate,7.97424502025097
secure,7.97424502025097
attract,7.97424502025097
trash,7.97424502025097
coordinate,7.97424502025097
stormwater,7.97424502025097
circulate,7.97424502025097
storm,7.97424502025097
canopy,7.97424502025097
storage,7.97424502025097
sufficient,7.97424502025097
build,7.97424502025097
applicant,7.97424502025097
breakfast,7.97424502025097
block,7.97424502025097
blank,7.97424502025097
connection,7.97424502025097
context,7.97424502025097
continue,7.97424502025097
september,7.97424502025097
avoidably,7.97424502025097
system,7.97424502025097
diagram,7.97424502025097
articulate,7.97424502025097
substantially,7.97424502025097
preservation,7.97424502025097
emphasize,7.97424502025097
previously,7.97424502025097
primarily,7.97424502025097
variation,7.97424502025097
problem,7.97424502025097
proximity,7.97424502025097
easement,7.97424502025097
enclosure,7.97424502025097
dsap,7.97424502025097
drop,7.97424502025097
prepare,7.97424502025097
addition,7.97424502025097
aesthetically,7.97424502025097
establish,7.97424502025097
acquire,7.97424502025097
analyze,7.97424502025097
entire,7.97424502025097
receive,7.97424502025097
amend,7.97424502025097
width,7.97424502025097
environment,7.97424502025097
distribute,7.97424502025097
zero,7.97424502025097
minimize,8.261927092702752
term,8.261927092702752
lastly,8.261927092702752
maximum,8.261927092702752
welfare,8.261927092702752
tankhouse,8.261927092702752
mechanical,8.261927092702752
layer,8.261927092702752
metal,8.261927092702752
way,8.261927092702752
varied,8.261927092702752
letter,8.261927092702752
loading,8.261927092702752
unreasonably,8.261927092702752
locating,8.261927092702752
union,8.261927092702752
veneer,8.261927092702752
vent,8.261927092702752
vibration,8.261927092702752
look,8.261927092702752
unacceptable,8.261927092702752
lounge,8.261927092702752
