Keywords,TF-IDF
notes,4.353795142767572
authority,4.41095355660752
agreement,4.536116699561527
paper,4.6051095710484775
commercial,4.6051095710484775
reimbursement,5.084682651310364
trust,5.123903364463645
bank,5.207284973402696
lease,5.207284973402696
letter,5.298256751608423
series,5.347046915777855
order,5.347046915777855
credit,5.347046915777855
pursuant,5.347046915777855
amendment,5.398340210165405
supplement,5.398340210165405
sublease,5.398340210165405
amended,5.509565845275629
restated,5.570190467092065
certain,5.634728988229636
adopted,5.634728988229636
resolutions,5.7037218597165875
exceed,5.777829831870309
revenue,5.777829831870309
including,5.777829831870309
principal,5.777829831870309
delivery,5.857872539543846
authorized,5.857872539543846
section,5.944883916533476
site,5.944883916533476
fourth,5.944883916533476
financing,5.944883916533476
related,6.0401940963378005
approving,6.0401940963378005
exempt,6.0401940963378005
state,6.0401940963378005
finance,6.0401940963378005
street,6.0401940963378005
agreements,6.0401940963378005
tax,6.0401940963378005
property,6.145554611995626
issue,6.145554611995626
item,6.145554611995626
number,6.145554611995626
kml,6.145554611995626
additional,6.145554611995626
seventh,6.145554611995626
execution,6.145554611995626
nvf,6.145554611995626
rlt,6.145554611995626
february,6.145554611995626
available,6.145554611995626
documents,6.26333764765201
costs,6.26333764765201
taxable,6.26333764765201
dated,6.396869040276533
provide,6.396869040276533
increase,6.396869040276533
commitment,6.396869040276533
maximum,6.396869040276533
issuance,6.396869040276533
proceeds,6.396869040276533
fifth,6.396869040276533
entered,6.396869040276533
ii,6.396869040276533
fdtc,6.396869040276533
necessary,6.551019720103791
june,6.551019720103791
connection,6.551019720103791
january,6.551019720103791
issued,6.551019720103791
program,6.551019720103791
effective,6.551019720103791
trustee,6.551019720103791
acting,6.551019720103791
actions,6.551019720103791
designated,6.551019720103791
time,6.551019720103791
execute,6.551019720103791
agency,6.551019720103791
bonds,6.551019720103791
aggregate,6.551019720103791
amendments,6.551019720103791
fee,6.551019720103791
purpose,6.551019720103791
authorizing,6.551019720103791
public,6.551019720103791
projects,6.551019720103791
project,6.551019720103791
deem,6.733341276897746
interest,6.733341276897746
eoc,6.733341276897746
funding,6.733341276897746
defined,6.733341276897746
date,6.733341276897746
improvements,6.733341276897746
leased,6.733341276897746
joint,6.733341276897746
association,6.733341276897746
payment,6.733341276897746
amend,6.733341276897746
center,6.733341276897746
officers,6.733341276897746
act,6.733341276897746
outstanding,6.733341276897746
clean,6.733341276897746
code,6.733341276897746
national,6.733341276897746
certificates,6.733341276897746
sixth,6.733341276897746
energy,6.956484828211956
use,6.956484828211956
transactions,6.956484828211956
thereof,6.956484828211956
terms,6.956484828211956
system,6.956484828211956
duly,6.956484828211956
support,6.956484828211956
stated,6.956484828211956
service,6.956484828211956
expiration,6.956484828211956
shall,6.956484828211956
extend,6.956484828211956
reduce,6.956484828211956
recovery,6.956484828211956
real,6.956484828211956
parks,6.956484828211956
flood,6.956484828211956
november,6.956484828211956
heretofore,6.956484828211956
manager,6.956484828211956
expand,6.956484828211956
director,6.956484828211956
ability,6.956484828211956
amending,6.956484828211956
community,6.956484828211956
currently,6.956484828211956
described,6.956484828211956
advisable,6.956484828211956
addition,6.956484828211956
construction,6.956484828211956
allowing,6.956484828211956
billing,6.956484828211956
capital,6.956484828211956
approval,7.244166900663736
senter,7.244166900663736
conditions,7.244166900663736
known,7.244166900663736
seq,7.244166900663736
company,7.244166900663736
concurrently,7.244166900663736
powers,7.244166900663736
annual,7.244166900663736
software,7.244166900663736
instruments,7.244166900663736
south,7.244166900663736
specified,7.244166900663736
income,7.244166900663736
yard,7.244166900663736
allow,7.244166900663736
aid,7.244166900663736
housing,7.244166900663736
issues,7.244166900663736
second,7.244166900663736
safety,7.244166900663736
held,7.244166900663736
power,7.244166900663736
permitted,7.244166900663736
based,7.244166900663736
provided,7.244166900663736
prudent,7.244166900663736
owned,7.244166900663736
original,7.244166900663736
august,7.244166900663736
determined,7.244166900663736
official,7.244166900663736
purposes,7.244166900663736
associated,7.244166900663736
redevelopment,7.244166900663736
assist,7.244166900663736
assignments,7.244166900663736
relating,7.244166900663736
negotiate,7.244166900663736
collectively,7.244166900663736
museum,7.244166900663736
moderate,7.244166900663736
require,7.244166900663736
approved,7.244166900663736
low,7.244166900663736
road,7.244166900663736
located,7.244166900663736
limitation,7.244166900663736
hearing,7.244166900663736
previously,7.244166900663736
excess,7.244166900663736
utility,7.244166900663736
extension,7.244166900663736
acquisition,7.244166900663736
thereunder,7.244166900663736
fire,7.244166900663736
effect,7.244166900663736
tech,7.244166900663736
duration,7.244166900663736
exercise,7.244166900663736
extensions,7.244166900663736
established,7.244166900663736
facilities,7.244166900663736
government,7.244166900663736
forms,7.244166900663736
fund,7.244166900663736
et,7.244166900663736
substantially,7.244166900663736
health,7.244166900663736
