Keywords,TF-IDF
free,3.7647455447787554
use,3.7647455447787554
fire,3.7647455447787554
department,3.8982769374032777
saturday,4.052427617230537
hall,4.234749174024491
authorize,4.234749174024491
process,4.4578927253387
exam,4.4578927253387
captain,4.4578927253387
write,4.4578927253387
fee,4.745574797790482
facility,4.745574797790482
nxn,4.745574797790482
nvf,4.745574797790482
large,4.745574797790482
promotional,4.745574797790482
official,4.745574797790482
qualify,4.745574797790482
day,4.745574797790482
retroactively,4.745574797790482
cer,4.745574797790482
rotunda,4.745574797790482
business,4.745574797790482
new,5.151039905898646
number,5.151039905898646
toni,5.151039905898646
thirty,5.151039905898646
taber,5.151039905898646
occur,5.151039905898646
sunday,5.151039905898646
schedule,5.151039905898646
safely,5.151039905898646
sam,5.151039905898646
recruitment,5.151039905898646
plaza,5.151039905898646
proctor,5.151039905898646
promotion,5.151039905898646
resolve,5.151039905898646
request,5.151039905898646
open,5.151039905898646
necessary,5.151039905898646
absent,5.151039905898646
list,5.151039905898646
accommodate,5.151039905898646
activity,5.151039905898646
advance,5.151039905898646
allow,5.151039905898646
apply,5.151039905898646
approval,5.151039905898646
attest,5.151039905898646
aye,5.151039905898646
book,5.151039905898646
candidate,5.151039905898646
charge,5.151039905898646
cmc,5.151039905898646
location,5.151039905898646
comfortably,5.151039905898646
coordination,5.151039905898646
desire,5.151039905898646
disqualify,5.151039905898646
eligibility,5.151039905898646
establish,5.151039905898646
find,5.151039905898646
friday,5.151039905898646
future,5.151039905898646
vote,5.151039905898646
human,5.151039905898646
june,5.151039905898646
liccardo,5.151039905898646
conduct,5.151039905898646
hold,5.151039905898646
