Keywords,TF-IDF
project,4.332691404609882
use,4.828479151011331
site,5.183024168692239
plan,5.226509280631978
downtown,5.331869796289804
residential,5.356871098495222
neighborhood,5.5216263315712775
development,5.536664208935817
foot,5.551931681066606
street,5.551931681066606
permit,5.567435867602572
general,5.631974388740143
zone,5.665875940415824
building,5.665875940415824
area,5.7009672602270935
tree,5.756027037410122
commercial,5.756027037410122
include,5.814295945534097
land,5.897677554473148
designation,5.897677554473148
space,5.988649332678875
exist,5.988649332678875
dsap,5.988649332678875
height,6.012746884257935
west,6.0374394968483065
parking,6.0374394968483065
district,6.0374394968483065
community,6.0887327912358575
gifford,6.115401038318018
analysis,6.115401038318018
avenue,6.170970889472829
carlos,6.170970889472829
unit,6.199958426346082
staff,6.199958426346082
report,6.2298113894957625
policy,6.2298113894957625
property,6.2298113894957625
consistent,6.2298113894957625
environmental,6.2298113894957625
housing,6.260583048162516
applicant,6.292331746477097
design,6.292331746477097
care,6.3590231209757695
facility,6.3590231209757695
planning,6.3590231209757695
map,6.394114440787039
impact,6.394114440787039
page,6.394114440787039
state,6.430482084957914
strategy,6.430482084957914
code,6.507443126094042
requirement,6.507443126094042
allow,6.507443126094042
conditional,6.507443126094042
finding,6.548265120614298
locate,6.5908247350330935
station,6.5908247350330935
approximately,6.635276497603927
primary,6.635276497603927
exhibit,6.635276497603927
concern,6.635276497603927
vest,6.68179651323882
tentative,6.68179651323882
adjacent,6.68179651323882
diridon,6.68179651323882
dc,6.730586677408252
addendum,6.730586677408252
commission,6.730586677408252
new,6.730586677408252
section,6.730586677408252
pedestrian,6.781879971795803
resident,6.781879971795803
standard,6.781879971795803
transit,6.781879971795803
guideline,6.835947193066079
discuss,6.835947193066079
room,6.835947193066079
loading,6.835947193066079
amendment,6.835947193066079
rezone,6.835947193066079
square,6.893105606906027
ceqa,6.893105606906027
residence,6.893105606906027
reduce,6.953730228722462
total,6.953730228722462
increase,6.953730228722462
live,6.953730228722462
structure,6.953730228722462
growth,6.953730228722462
industrial,6.953730228722462
condition,7.018268749860033
ordinance,7.018268749860033
light,7.018268749860033
senior,7.018268749860033
guest,7.018268749860033
sidewalk,7.018268749860033
replacement,7.018268749860033
member,7.018268749860033
parcel,7.018268749860033
urban,7.018268749860033
analyze,7.087261621346984
program,7.087261621346984
delmas,7.087261621346984
construction,7.087261621346984
surround,7.087261621346984
exception,7.087261621346984
number,7.161369593500706
floor,7.161369593500706
family,7.161369593500706
size,7.161369593500706
work,7.161369593500706
mitigation,7.161369593500706
review,7.241412301174243
commissioner,7.241412301174243
applicable,7.241412301174243
park,7.241412301174243
municipal,7.241412301174243
level,7.241412301174243
share,7.241412301174243
assist,7.241412301174243
association,7.241412301174243
demolition,7.241412301174243
post,7.241412301174243
ground,7.3284236781638725
seven,7.3284236781638725
conform,7.3284236781638725
december,7.3284236781638725
amend,7.3284236781638725
limit,7.3284236781638725
respond,7.3284236781638725
wide,7.3284236781638725
base,7.3284236781638725
identify,7.3284236781638725
activity,7.3284236781638725
active,7.3284236781638725
act,7.3284236781638725
material,7.3284236781638725
ratio,7.3284236781638725
quality,7.3284236781638725
vehicle,7.3284236781638725
density,7.423733857968197
location,7.423733857968197
recommend,7.423733857968197
subdivision,7.423733857968197
li,7.423733857968197
associate,7.423733857968197
access,7.423733857968197
apn,7.423733857968197
response,7.423733857968197
approval,7.423733857968197
story,7.423733857968197
monitoring,7.423733857968197
meet,7.423733857968197
removal,7.423733857968197
set,7.423733857968197
