Keywords,TF-IDF
project,4.3683402165043805
water,4.430860573485715
groundwater,4.729353562041711
supply,4.773805324612544
agnews,4.820325340247438
trimble,5.031634433914644
municipal,5.225790448355602
site,5.225790448355602
declaration,5.299898420509324
area,5.299898420509324
negative,5.299898420509324
mitigate,5.299898420509324
wells,5.37994112818286
service,5.37994112818286
customer,5.562262684976814
wholesale,5.667623200634641
year,5.667623200634641
park,5.667623200634641
june,5.785406236291025
initial,5.785406236291025
staff,5.785406236291025
status,5.785406236291025
sfpuc,5.785406236291025
additional,5.785406236291025
study,5.785406236291025
design,5.918937628915547
subject,5.918937628915547
potable,5.918937628915547
public,5.918937628915547
location,5.918937628915547
future,5.918937628915547
county,6.073088308742806
propose,6.073088308742806
honorable,6.073088308742806
department,6.073088308742806
mgd,6.073088308742806
santa,6.073088308742806
land,6.073088308742806
clara,6.073088308742806
phase,6.073088308742806
sjmws,6.073088308742806
source,6.073088308742806
mayor,6.073088308742806
francisco,6.073088308742806
neighborhood,6.073088308742806
scope,6.073088308742806
construction,6.25540986553676
director,6.25540986553676
delta,6.25540986553676
environmental,6.25540986553676
require,6.25540986553676
report,6.25540986553676
exist,6.25540986553676
planning,6.25540986553676
recreation,6.25540986553676
facility,6.25540986553676
recommendation,6.25540986553676
quality,6.25540986553676
contract,6.25540986553676
road,6.25540986553676
page,6.25540986553676
include,6.25540986553676
use,6.25540986553676
attachment,6.25540986553676
analysis,6.25540986553676
award,6.25540986553676
bay,6.25540986553676
alviso,6.25540986553676
allow,6.25540986553676
north,6.25540986553676
alternative,6.25540986553676
wsa,6.25540986553676
ceqa,6.25540986553676
work,6.4785534168509695
dry,6.4785534168509695
plan,6.4785534168509695
comment,6.4785534168509695
meet,6.4785534168509695
decision,6.4785534168509695
available,6.4785534168509695
amendment,6.4785534168509695
locate,6.4785534168509695
assurance,6.4785534168509695
result,6.4785534168509695
associate,6.4785534168509695
development,6.4785534168509695
approval,6.4785534168509695
commission,6.4785534168509695
need,6.4785534168509695
date,6.4785534168509695
st,6.4785534168509695
recommend,6.4785534168509695
rd,6.4785534168509695
purchase,6.4785534168509695
system,6.4785534168509695
adopt,6.4785534168509695
increase,6.4785534168509695
provide,6.4785534168509695
ensure,6.766235489302751
enforcement,6.766235489302751
restate,6.766235489302751
extend,6.766235489302751
new,6.766235489302751
review,6.766235489302751
river,6.766235489302751
approve,6.766235489302751
east,6.766235489302751
zanker,6.766235489302751
proceed,6.766235489302751
adoption,6.766235489302751
able,6.766235489302751
post,6.766235489302751
equal,6.766235489302751
advertising,6.766235489302751
question,6.766235489302751
amend,6.766235489302751
pky,6.766235489302751
website,6.766235489302751
act,6.766235489302751
agreement,6.766235489302751
receive,6.766235489302751
reduce,6.766235489302751
input,6.766235489302751
necessary,6.766235489302751
drought,6.766235489302751
normal,6.766235489302751
dr,6.766235489302751
coordinate,6.766235489302751
coordination,6.766235489302751
building,6.766235489302751
map,6.766235489302751
bid,6.766235489302751
multiple,6.766235489302751
day,6.766235489302751
state,6.766235489302751
smart,6.766235489302751
secure,6.766235489302751
ssaann,6.766235489302751
romanow,6.766235489302751
continue,6.766235489302751
commitment,6.766235489302751
center,6.766235489302751
code,6.766235489302751
permanent,6.766235489302751
climate,6.766235489302751
mateo,6.766235489302751
safety,6.766235489302751
distribution,6.766235489302751
district,6.766235489302751
kerrie,6.766235489302751
demand,6.766235489302751
control,6.766235489302751
optimal,7.171700597410915
option,7.171700597410915
outcome,7.171700597410915
pro,7.171700597410915
pa,7.171700597410915
privately,7.171700597410915
operate,7.171700597410915
objective,7.171700597410915
ollirbac,7.171700597410915
outside,7.171700597410915
perpetual,7.171700597410915
nta,7.171700597410915
period,7.171700597410915
ntague,7.171700597410915
path,7.171700597410915
party,7.171700597410915
oaks,7.171700597410915
parkland,7.171700597410915
physical,7.171700597410915
parameter,7.171700597410915
ocean,7.171700597410915
policy,7.171700597410915
pack,7.171700597410915
portion,7.171700597410915
ooaakkllaanndd,7.171700597410915
outreach,7.171700597410915
ability,7.171700597410915
produce,7.171700597410915
steel,7.171700597410915
submersible,7.171700597410915
subsequently,7.171700597410915
supplemental,7.171700597410915
sure,7.171700597410915
surround,7.171700597410915
swrcb,7.171700597410915
tas,7.171700597410915
tasman,7.171700597410915
temporary,7.171700597410915
term,7.171700597410915
text,7.171700597410915
solano,7.171700597410915
tmaall,7.171700597410915
tower,7.171700597410915
trim,7.171700597410915
tuolumne,7.171700597410915
uncertainty,7.171700597410915
unified,7.171700597410915
unmet,7.171700597410915
utility,7.171700597410915
uucnnlannrayyvvaallee,7.171700597410915
uv,7.171700597410915
valley,7.171700597410915
vvaalllleejjoo,7.171700597410915
west,7.171700597410915
total,7.171700597410915
single,7.171700597410915
shortage,7.171700597410915
seven,7.171700597410915
production,7.171700597410915
program,7.171700597410915
property,7.171700597410915
protection,7.171700597410915
provenzano,7.171700597410915
pump,7.171700597410915
rate,7.171700597410915
reason,7.171700597410915
recycle,7.171700597410915
relationship,7.171700597410915
reliability,7.171700597410915
replace,7.171700597410915
requirement,7.171700597410915
retail,7.171700597410915
return,7.171700597410915
sacramento,7.171700597410915
sale,7.171700597410915
sanm,7.171700597410915
santsas,7.171700597410915
school,7.171700597410915
screening,7.171700597410915
sdulava,7.171700597410915
sealant,7.171700597410915
second,7.171700597410915
security,7.171700597410915
set,7.171700597410915
settlement,7.171700597410915
process,7.171700597410915
non,7.171700597410915
july,7.171700597410915
nke,7.171700597410915
conversation,7.171700597410915
contamination,7.171700597410915
construct,7.171700597410915
constrain,7.171700597410915
connection,7.171700597410915
connect,7.171700597410915
cool,7.171700597410915
conformance,7.171700597410915
condition,7.171700597410915
conclusion,7.171700597410915
concern,7.171700597410915
con,7.171700597410915
competitive,7.171700597410915
community,7.171700597410915
conduct,7.171700597410915
corner,7.171700597410915
correction,7.171700597410915
currently,7.171700597410915
division,7.171700597410915
distribute,7.171700597410915
difficult,7.171700597410915
developer,7.171700597410915
detail,7.171700597410915
description,7.171700597410915
describe,7.171700597410915
deputy,7.171700597410915
depth,7.171700597410915
deliver,7.171700597410915
delay,7.171700597410915
define,7.171700597410915
defer,7.171700597410915
december,7.171700597410915
datum,7.171700597410915
commit,7.171700597410915
drilling,7.171700597410915
collectively,7.171700597410915
circulate,7.171700597410915
april,7.171700597410915
answer,7.171700597410915
allocate,7.171700597410915
alamhhedaaayywwaarrdd,7.171700597410915
alameda,7.171700597410915
agne,7.171700597410915
aside,7.171700597410915
agency,7.171700597410915
aesthetic,7.171700597410915
adjacent,7.171700597410915
add,7.171700597410915
action,7.171700597410915
acquisition,7.171700597410915
accordance,7.171700597410915
affect,7.171700597410915
association,7.171700597410915
attorney,7.171700597410915
authority,7.171700597410915
cific,7.171700597410915
chapter,7.171700597410915
change,7.171700597410915
ccoonnccoorrdd,7.171700597410915
casing,7.171700597410915
cabrillo,7.171700597410915
business,7.171700597410915
brokaw,7.171700597410915
borehole,7.171700597410915
board,7.171700597410915
blend,7.171700597410915
ble,7.171700597410915
bidding,7.171700597410915
bbeerrkkeeclloeenyytgrar,7.171700597410915
background,7.171700597410915
circulation,7.171700597410915
ecaost,7.171700597410915
ecosystem,7.171700597410915
effect,7.171700597410915
maintain,7.171700597410915
letter,7.171700597410915
leave,7.171700597410915
lead,7.171700597410915
largely,7.171700597410915
lafayette,7.171700597410915
major,7.171700597410915
joaquin,7.171700597410915
jeff,7.171700597410915
item,7.171700597410915
irrigation,7.171700597410915
interruptible,7.171700597410915
interested,7.171700597410915
institutional,7.171700597410915
jjoossee,7.171700597410915
march,7.171700597410915
marin,7.171700597410915
master,7.171700597410915
negotiation,7.171700597410915
near,7.171700597410915
mxd,7.171700597410915
muni,7.171700597410915
multi,7.171700597410915
motor,7.171700597410915
monitoring,7.171700597410915
mobility,7.171700597410915
mnd,7.171700597410915
mitigation,7.171700597410915
minor,7.171700597410915
minimize,7.171700597410915
million,7.171700597410915
mile,7.171700597410915
memo,7.171700597410915
installation,7.171700597410915
instal,7.171700597410915
infrastructure,7.171700597410915
information,7.171700597410915
farnadnrcisco,7.171700597410915
fall,7.171700597410915
expire,7.171700597410915
experience,7.171700597410915
expensive,7.171700597410915
exp,7.171700597410915
evaluation,7.171700597410915
estuary,7.171700597410915
establish,7.171700597410915
esa,7.171700597410915
enter,7.171700597410915
energy,7.171700597410915
end,7.171700597410915
enclosure,7.171700597410915
email,7.171700597410915
ffrraanncciissccoo,7.171700597410915
noise,7.171700597410915
ffrreemmoonntt,7.171700597410915
foot,7.171700597410915
import,7.171700597410915
implement,7.171700597410915
impact,7.171700597410915
identify,7.171700597410915
identification,7.171700597410915
hydrology,7.171700597410915
hospital,7.171700597410915
high,7.171700597410915
health,7.171700597410915
guadalupe,7.171700597410915
group,7.171700597410915
gravel,7.171700597410915
goal,7.171700597410915
gi,7.171700597410915
gallon,7.171700597410915
follow,7.171700597410915
zone,7.171700597410915
