,city,date,meeting,url,doc_type
36,San Mateo,2021-04-19 17:30:00,City Council Special Meeting - REVISED AGENDA,https://youtube.com/watch?v=Yp_Ll0ZL2AE,Video
37,San Mateo,2021-04-14 19:00:00,Sustainability & Infrastructure Commission,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13313,Agenda
38,San Mateo,2021-04-14 19:00:00,Sustainability & Infrastructure Commission,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13319,Packet
39,San Mateo,2021-04-14 19:00:00,Sustainability & Infrastructure Commission,https://youtube.com/watch?v=MRRJdrvLrx0,Video
40,San Mateo,2021-04-05 19:00:00,City Council Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13240,Agenda
41,San Mateo,2021-04-05 19:00:00,City Council Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13241,Packet
42,San Mateo,2021-04-05 19:00:00,City Council Regular Meeting,https://youtube.com/watch?v=6MYHble8Ffs,Video
43,San Mateo,2021-04-05 17:30:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13285,Agenda
44,San Mateo,2021-04-05 17:30:00,City Council Special Meeting,https://youtube.com/watch?v=uxdwv3vReuE,Video
45,San Mateo,2021-04-01 17:30:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13149,Agenda
46,San Mateo,2021-03-30 17:45:00,Appointment Subcommittee - Sustainability and Infrastructure Commission,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13137,Agenda
47,San Mateo,2021-03-23 19:00:00,REVISED Planning Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13114,Agenda
48,San Mateo,2021-03-23 19:00:00,REVISED Planning Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13117,Packet
49,San Mateo,2021-03-23 19:00:00,REVISED Planning Commission Regular Meeting,https://youtube.com/watch?v=p6LHyZR5dkY,Video
50,San Mateo,2021-03-22 17:30:00,Library Board Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13080,Agenda
51,San Mateo,2021-03-22 17:30:00,Library Board Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13083,Packet
52,San Mateo,2021-03-22 17:30:00,Library Board Regular Meeting,https://youtube.com/watch?v=xh1ICtnkz-s,Video
53,San Mateo,2021-03-17 19:00:00,Community Relations Commission,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13033,Agenda
54,San Mateo,2021-03-17 19:00:00,Community Relations Commission,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13050,Packet
55,San Mateo,2021-03-16 19:00:00,Personnel Board Regular Meeting - REVISED,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13062,Agenda
56,San Mateo,2021-03-16 19:00:00,Personnel Board Regular Meeting - REVISED,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13064,Packet
57,San Mateo,2021-03-16 19:00:00,Personnel Board Regular Meeting - REVISED,https://youtube.com/watch?v=pY5YwfkmSMA,Video
58,San Mateo,2021-03-15 19:00:00,City Council Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13096,Agenda
59,San Mateo,2021-03-15 19:00:00,City Council Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13099,Packet
60,San Mateo,2021-03-15 19:00:00,City Council Regular Meeting,https://youtube.com/watch?v=6ll9QNbZo1w,Video
61,San Mateo,2021-03-15 17:30:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13071,Agenda
62,San Mateo,2021-03-15 17:30:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=13072,Packet
63,San Mateo,2021-03-15 17:30:00,City Council Special Meeting,https://youtube.com/watch?v=uEAyD2tW_KE,Video
64,San Mateo,2021-03-11 18:00:00,City Council Audit Committee Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12861,Agenda
65,San Mateo,2021-03-11 18:00:00,City Council Audit Committee Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12864,Packet
66,San Mateo,2021-03-10 19:00:00,Sustainability & Infrastructure Commission Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12898,Agenda
67,San Mateo,2021-03-10 19:00:00,Sustainability & Infrastructure Commission Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12899,Packet
68,San Mateo,2021-03-10 19:00:00,Sustainability & Infrastructure Commission Meeting,https://youtube.com/watch?v=k7FrVcS-aRU,Video
69,San Mateo,2021-03-09 19:00:00,Planning Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12795,Agenda
