File #,Staff Report link,Ver.,Agenda #,Agenda Note,Type,Title,Action,Result,Action Details,Video
201238,LegislationDetail.aspx?ID=4987199&GUID=E8E60C14-9BB9-4794-AE37-EA072B0CAC36&Options=&Search=,,3.1,,Minutes Approval,"Approve Minutes from March 29, 2021 Meeting",,,Not available,
201239,LegislationDetail.aspx?ID=4987200&GUID=7F2064A7-A3B5-46B8-945B-F256CADE6D27&Options=&Search=,,8.1,,New Business,Approve FY 2021-2022 Work Plan,,,Not available,
201240,LegislationDetail.aspx?ID=4987201&GUID=A3992D75-7257-4F96-8035-1037559CCF75&Options=&Search=,,8.2,,New Business,Approve FY 2021-2022 Calendar,,,Not available,
201242,LegislationDetail.aspx?ID=4987202&GUID=C578A891-2B35-4B2B-BE6F-2DD59D9A3EA2&Options=&Search=,,9.1,,New Business,Library Director's Report,,,Not available,
201243,LegislationDetail.aspx?ID=4987203&GUID=C27F08FA-E496-48DD-A7BA-05C5722AED79&Options=&Search=,,9.2,,New Business,Agenda Setting,,,Not available,
"Please note: this meeting's minutes have not been finalized yet. Actions taken on legislation and their results are not available.  Details  Meeting Name:  Board of Library Trustees  Agenda status:  Final  Meeting date/time:  6/21/2021  7:00 PM  Minutes status:  Draft  Meeting location:  Video Conference with No Physical Meeting Location  Published agenda:  Agenda  Published minutes:  Not available  Meeting video:  Not available  Attachments:  Meeting Items (5)  5 recordsGroup  Clear sortingClear groupingGroup by TypeGroup by Result  Export  Export to ExcelExport to PDFExport to Word  Show: Legislation only  Legislation onlyAll agenda items  File #Agenda #TypeTitleActionAction DetailsMedia Column  201238  3.1Minutes ApprovalApprove Minutes from March 29, 2021 Meeting Not available  Not available  201239  8.1New BusinessApprove FY 2021-2022 Work Plan Not available  Not available  201240  8.2New BusinessApprove FY 2021-2022 Calendar Not available  Not available  201242  9.1New BusinessLibrary Director's Report Not available  Not available  201243  9.2New BusinessAgenda Setting Not available  Not available",Error,,,,,,,,,
