File #,Staff Report link,Ver.,Agenda #,Agenda Note,Type,Title,Action,Result,Action Details,Video
201268,LegislationDetail.aspx?ID=4994911&GUID=B1373686-EE63-4F69-A34F-6F05A3AFD98A&Options=&Search=,,3.1,,Consent Calendar,"Approve the Minutes for June 14, 2021 RHC Meeting",,,Not available,
201267,LegislationDetail.aspx?ID=4994910&GUID=9FB4F18A-8121-401D-AAF5-CB0893D59BCD&Options=&Search=,,6.1,,New Business,Appeal of Decision Re: Petition 2021001,,,Not available,
"Please note: this meeting's minutes have not been finalized yet. Actions taken on legislation and their results are not available.  Details  Meeting Name:  Rental Housing Committee  Agenda status:  Final  Meeting date/time:  6/28/2021  7:00 PM  Minutes status:  Draft  Meeting location:  Video Conference with No Physical Meeting Location  Published agenda:  Agenda  Published minutes:  Not available  Meeting video:  Not available  Attachments:  Meeting Items (2)  2 recordsGroup  Clear sortingClear groupingGroup by TypeGroup by Result  Export  Export to ExcelExport to PDFExport to Word  Show: Legislation only  Legislation onlyAll agenda items  File #Agenda #TypeTitleActionAction DetailsMedia Column  201268  3.1Consent CalendarApprove the Minutes for June 14, 2021 RHC Meeting Not available  Not available  201267  6.1New BusinessAppeal of Decision Re: Petition 2021001 Not available  Not available",Error,,,,,,,,,
