File #,Staff Report link,Ver.,Agenda #,Agenda Note,Type,Title,Action,Result,Action Details,Video
201265,LegislationDetail.aspx?ID=4994147&GUID=1E487580-BE4A-4D30-8F55-FAE17C72FEC5&Options=&Search=,,4.1,,Presentation,MVPD Research Fellow Update,,,Not available,
201266,LegislationDetail.aspx?ID=4994148&GUID=84572CD6-498E-472B-BB8F-05DE39B90F28&Options=&Search=,,4.2,,New Business,Youth Services Unit/School Resource Officer Overview,,,Not available,
Please note: this meeting's minutes have not been finalized yet. Actions taken on legislation and their results are not available.  Details  Meeting Name:  Public Safety Advisory Board  Agenda status:  Final  Meeting date/time:  6/24/2021  7:00 PM  Minutes status:  Draft  Meeting location:  Video Conference with No Physical Meeting Location  Published agenda:  Agenda  Published minutes:  Not available  Meeting video:  Not available  Attachments:  Meeting Items (2)  2 recordsGroup  Clear sortingClear groupingGroup by TypeGroup by Result  Export  Export to ExcelExport to PDFExport to Word  Show: Legislation only  Legislation onlyAll agenda items  File #Agenda #TypeTitleActionAction DetailsMedia Column  201265  4.1PresentationMVPD Research Fellow Update Not available  Not available  201266  4.2New BusinessYouth Services Unit/School Resource Officer Overview Not available  Not available,Error,,,,,,,,,
