Agoura Hills,https://www.agourahillscity.org/,https://www.agourahillscity.org/our-city/government/city-council/city-council-meeting-agendas
Alameda,https://www.alamedaca.gov/Home,https://www.alamedaca.gov/GOVERNMENT/Agendas-Minutes-Announcements
Albany,https://www.albanyca.org/,https://www.albanyca.org/government/city-council/council-meeting-videos-agendas
Alhambra,https://www.cityofalhambra.org/,https://www.cityofalhambra.org/city-meetings
Aliso Viejo,https://avcity.org/,https://avcity.org/129/Agendas-Minutes
Alturas,http://www.cityofalturas.us/,http://www.cityofalturas.us/city_administraion/city_council/index.php
Amador City,https://amador-city.com/,https://amador-city.com/government-agendas-minutes-2020/
American Canyon,https://www.cityofamericancanyon.org/,https://www.cityofamericancanyon.org/community/residents/meetings-events
Anaheim,https://www.anaheim.net/,https://www.anaheim.net/2527/Agendas
Anderson,https://www.ci.anderson.ca.us/,https://ci.anderson.ca.us/new_city_administration/city_council.php
Angels,https://en.wikipedia.org/wiki/Angels_Camp,http://angelscamp.gov/city-hall/mayor-city-council/
Antioch,https://www.antiochca.gov/,https://www.antiochca.gov/government/agendas-and-minutes/
Apple Valley,https://www.applevalley.org/,https://www.ci.apple-valley.mn.us/91/Agendas-Minutes
Arcadia,https://www.arcadiaca.gov/,https://www.arcadiaca.gov/discover/city_council/city_council_meetings___agendas.php
Arcata,https://www.cityofarcata.org/,https://www.cityofarcata.org/405/City-Council
Arroyo Grande,https://www.arroyogrande.org/,https://www.arroyogrande.org/201/City-Council
Artesia,https://www.cityofartesia.us/,https://www.cityofartesia.us/index.aspx?NID=173
Arvin,https://www.arvin.org/,https://www.arvin.org/aboutnews/council-agendas/
Atascadero,https://www.atascadero.org/,https://www.atascadero.org/index.php?option=com_wrapper&view=wrapper&Itemid=1634
Atherton,https://www.ci.atherton.ca.us/,https://www.ci.atherton.ca.us/135/City-Council
Atwater,https://www.atwater.org/,https://www.atwater.org/city-council-meetings/
Auburn,https://www.auburn.ca.gov/,https://www.auburn.ca.gov/129/Agendas-Minutes
Avalon,http://www.cityofavalon.com/,http://www.cityofavalon.com/content/3180/3372/3392.aspx
Avenal,https://www.cityofavenal.com/,https://www.cityofavenal.com/164/City-Council
Azusa,https://www.ci.azusa.ca.us/,https://www.ci.azusa.ca.us/71/City-Council
Bakersfield,https://bakersfieldcity.us/,https://bakersfieldcity.us/gov/meetings_n_agendas/default.htm
Baldwin Park,https://www.baldwinpark.com/,https://www.baldwinpark.com/87-election-or-elected/186-meeting-information
